Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Sales_in_Millions,Genre_Code,First_Letter,global_sales_iva
Hyrule Warriors,3DS,2016.0,Action,Nintendo,0.16,0.12,0.11,0.03,0.42,420000.0,0,H,0.48719999999999997
Harry Potter and the Deathly Hallows - Part 1,PS3,2010.0,Action,Electronic Arts,0.13,0.21,0.0,0.08,0.42,420000.0,0,H,0.48719999999999997
Fishing Resort,Wii,2011.0,Sports,Namco Bandai Games,0.16,0.0,0.25,0.01,0.42,420000.0,10,F,0.48719999999999997
WWE All Stars,PS3,2011.0,Fighting,THQ,0.16,0.18,0.0,0.07,0.42,420000.0,2,W,0.48719999999999997
Lord of the Rings: The Third Age,XB,2004.0,Role-Playing,Electronic Arts,0.31,0.09,0.0,0.01,0.42,420000.0,7,L,0.48719999999999997
Football Manager Handheld 2011,PSP,2010.0,Sports,Sega,0.0,0.28,0.0,0.14,0.42,420000.0,10,F,0.48719999999999997
Pirates of the Caribbean: At World's End,PS2,2007.0,Action,Disney Interactive Studios,0.2,0.16,0.0,0.05,0.42,420000.0,0,P,0.48719999999999997
Mega Man Legends 2,PS,2000.0,Adventure,Capcom,0.17,0.12,0.1,0.03,0.42,420000.0,1,M,0.48719999999999997
X-Men vs. Street Fighter,PS,1997.0,Fighting,Capcom,0.16,0.11,0.12,0.03,0.42,420000.0,2,X,0.48719999999999997
High Rollers Casino,PS2,2004.0,Misc,Mud Duck Productions,0.2,0.16,0.0,0.05,0.42,420000.0,3,H,0.48719999999999997
Castlevania: The Dracula X Chronicles,PSP,2007.0,Platform,Konami Digital Entertainment,0.22,0.09,0.04,0.07,0.42,420000.0,4,C,0.48719999999999997
The Suffering,PS2,2004.0,Action,Midway Games,0.2,0.16,0.0,0.05,0.42,420000.0,0,T,0.48719999999999997
Cyber Troopers Virtual-On,SAT,1995.0,Fighting,Sega,0.0,0.0,0.42,0.0,0.42,420000.0,2,C,0.48719999999999997
Katamari Forever,PS3,2009.0,Puzzle,Namco Bandai Games,0.26,0.05,0.06,0.04,0.42,420000.0,5,K,0.48719999999999997
Star Wars Starfighter: Special Edition,XB,2001.0,Simulation,LucasArts,0.3,0.1,0.0,0.02,0.42,420000.0,9,S,0.48719999999999997
TimeShift,X360,2007.0,Shooter,Vivendi Games,0.36,0.02,0.0,0.03,0.41,410000.0,8,T,0.47559999999999997
NBA Jam,PS2,2003.0,Sports,Acclaim Entertainment,0.2,0.16,0.0,0.05,0.41,410000.0,10,N,0.47559999999999997
Zone of the Enders: The 2nd Runner,PS2,2003.0,Simulation,Konami Digital Entertainment,0.15,0.12,0.11,0.04,0.41,410000.0,9,Z,0.47559999999999997
Ghostbusters: The Video Game,DS,2009.0,Action,Atari,0.26,0.12,0.0,0.04,0.41,410000.0,0,G,0.47559999999999997
Attack on Titan: Humanity in Chains,3DS,2013.0,Action,Screenlife,0.0,0.0,0.41,0.0,0.41,410000.0,0,A,0.47559999999999997
Jampack Spring 2004 (RP-T),PS2,2003.0,Misc,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41,410000.0,3,J,0.47559999999999997
Dexter's Laboratory Deesaster Strikes,GBA,2001.0,Adventure,BAM! Entertainment,0.3,0.11,0.0,0.01,0.41,410000.0,1,D,0.47559999999999997
NFL GameDay 2004,PS2,2003.0,Sports,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41,410000.0,10,N,0.47559999999999997
Scooby-Doo and the Cyber Chase,GBA,2001.0,Adventure,Ubisoft,0.3,0.11,0.0,0.01,0.41,410000.0,1,S,0.47559999999999997
Danganronpa: Trigger Happy Havoc,PSV,2013.0,Misc,Nippon Ichi Software,0.14,0.07,0.15,0.06,0.41,410000.0,3,D,0.47559999999999997
TERA,PC,0.0,Role-Playing,Unknown,0.24,0.12,0.0,0.05,0.41,410000.0,7,T,0.47559999999999997
Tomb Raider: The Last Revelation,PC,1998.0,Action,Eidos Interactive,0.41,0.0,0.0,0.0,0.41,410000.0,0,T,0.47559999999999997
pro evolution soccer 2011,PS2,2010.0,Sports,Konami Digital Entertainment,0.04,0.21,0.05,0.11,0.41,410000.0,10,p,0.47559999999999997
Sega Rally Championship 2,DC,1999.0,Racing,Sega,0.0,0.0,0.41,0.0,0.41,410000.0,6,S,0.47559999999999997
Quake II,PS,1998.0,Shooter,Activision,0.23,0.16,0.0,0.03,0.41,410000.0,8,Q,0.47559999999999997
Crash of the Titans,PS2,2007.0,Action,Vivendi Games,0.34,0.01,0.0,0.06,0.41,410000.0,0,C,0.47559999999999997
BioShock,PC,2007.0,Shooter,Take-Two Interactive,0.01,0.39,0.0,0.02,0.41,410000.0,8,B,0.47559999999999997
Cars: Mater-National Championship,PS3,2007.0,Racing,THQ,0.37,0.01,0.0,0.03,0.41,410000.0,6,C,0.47559999999999997
MLB 10: The Show,PS2,2010.0,Sports,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41,410000.0,10,M,0.47559999999999997
Wheel of Fortune: 2nd Edition,PS,2000.0,Misc,Hasbro Interactive,0.23,0.16,0.0,0.03,0.41,410000.0,3,W,0.47559999999999997
Tom Clancy's Rainbow Six: Lockdown,XB,2005.0,Shooter,Ubisoft,0.26,0.13,0.0,0.02,0.41,410000.0,8,T,0.47559999999999997
Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,PSP,2009.0,Fighting,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,410000.0,2,M,0.47559999999999997
Cool Boarders 2001,PS,2000.0,Sports,Sony Computer Entertainment,0.23,0.16,0.0,0.03,0.41,410000.0,10,C,0.47559999999999997
Grudge Warriors,PS,1999.0,Action,Take-Two Interactive,0.23,0.16,0.0,0.03,0.41,410000.0,0,G,0.47559999999999997
World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen,PS,2000.0,Sports,Konami Digital Entertainment,0.0,0.0,0.39,0.03,0.41,410000.0,10,W,0.47559999999999997
Destiny: The Taken King,PS3,2015.0,Shooter,Activision,0.16,0.17,0.02,0.06,0.41,410000.0,8,D,0.47559999999999997
Mobile Suit Gundam,SAT,1995.0,Action,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,410000.0,0,M,0.47559999999999997
Mass Effect Trilogy,X360,2012.0,Action,Electronic Arts,0.28,0.1,0.0,0.03,0.41,410000.0,0,M,0.47559999999999997
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PSP,2009.0,Shooter,Activision,0.17,0.15,0.0,0.09,0.41,410000.0,8,T,0.47559999999999997
Wolfenstein: The New Order,X360,2014.0,Shooter,Bethesda Softworks,0.18,0.19,0.0,0.04,0.41,410000.0,8,W,0.47559999999999997
James Patterson Women's Murder Club: Games of Passion,DS,2009.0,Adventure,THQ,0.15,0.22,0.0,0.05,0.41,410000.0,1,J,0.47559999999999997
Farming Simulator 2015,X360,2015.0,Simulation,Koch Media,0.21,0.16,0.0,0.04,0.41,410000.0,9,F,0.47559999999999997
Jimmy Neutron: Boy Genius,PS2,2002.0,Platform,THQ,0.2,0.16,0.0,0.05,0.41,410000.0,4,J,0.47559999999999997
Itadaki Street DS,DS,2007.0,Misc,Square Enix,0.0,0.0,0.41,0.0,0.41,410000.0,3,I,0.47559999999999997
Castlevania: Order of Ecclesia,DS,2008.0,Platform,Konami Digital Entertainment,0.31,0.03,0.04,0.03,0.41,410000.0,4,C,0.47559999999999997
BlazBlue: Continuum Shift,PS3,2010.0,Fighting,PQube,0.21,0.08,0.09,0.04,0.41,410000.0,2,B,0.47559999999999997
X-Men: The Official Game,PS2,2006.0,Action,Activision,0.2,0.16,0.0,0.05,0.41,410000.0,0,X,0.47559999999999997
300: March to Glory,PSP,2007.0,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.06,0.41,410000.0,0,3,0.47559999999999997
E0: Enemy Zero,SAT,1996.0,Adventure,Sega,0.0,0.0,0.41,0.0,0.41,410000.0,1,E,0.47559999999999997
Nicktoons: Unite!,PS2,2005.0,Adventure,THQ,0.34,0.01,0.0,0.06,0.41,410000.0,1,N,0.47559999999999997
Six Flags Fun Park,Wii,2009.0,Misc,Ubisoft,0.28,0.1,0.0,0.04,0.41,410000.0,3,S,0.47559999999999997
Spore Hero,Wii,2009.0,Simulation,Electronic Arts,0.36,0.03,0.0,0.03,0.41,410000.0,9,S,0.47559999999999997
Mass Effect Trilogy,PS3,2012.0,Action,Electronic Arts,0.37,0.0,0.0,0.04,0.41,410000.0,0,M,0.47559999999999997
NASCAR Racing,PS,1996.0,Racing,Pioneer LDC,0.23,0.16,0.0,0.03,0.41,410000.0,6,N,0.47559999999999997
LEGO Jurassic World,PSV,2015.0,Action,Warner Bros. Interactive Entertainment,0.09,0.23,0.0,0.09,0.41,410000.0,0,L,0.47559999999999997
Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,Wii,2009.0,Misc,Hudson Soft,0.0,0.0,0.41,0.0,0.41,410000.0,3,M,0.47559999999999997
Up,PSP,2009.0,Action,THQ,0.24,0.1,0.0,0.07,0.41,410000.0,0,U,0.47559999999999997
Spider-Man: Web of Shadows,X360,2008.0,Action,Activision,0.36,0.02,0.0,0.03,0.41,410000.0,0,S,0.47559999999999997
Boku no Natsuyasumi 2: Umi no Bouken Hen,PS2,2002.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.41,0.0,0.41,410000.0,1,B,0.47559999999999997
SpongeBob SquigglePants,Wii,2011.0,Misc,THQ,0.36,0.03,0.0,0.03,0.41,410000.0,3,S,0.47559999999999997
Cars: Race-O-Rama,PSP,2009.0,Racing,THQ,0.29,0.07,0.0,0.06,0.41,410000.0,6,C,0.47559999999999997
Fantastic Pets,X360,2011.0,Simulation,THQ,0.3,0.08,0.0,0.03,0.41,410000.0,9,F,0.47559999999999997
Command & Conquer: Red Alert,PS,1997.0,Strategy,Virgin Interactive,0.23,0.16,0.0,0.03,0.41,410000.0,11,C,0.47559999999999997
Star Wars The Clone Wars: Republic Heroes,DS,2009.0,Action,LucasArts,0.23,0.14,0.0,0.04,0.41,410000.0,0,S,0.47559999999999997
Dig Dug,NES,1985.0,Puzzle,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,410000.0,5,D,0.47559999999999997
Ogre Battle 64: Person of Lordly Caliber,N64,1999.0,Role-Playing,Nintendo,0.1,0.02,0.25,0.04,0.41,410000.0,7,O,0.47559999999999997
Superman: The New Superman Adventures,N64,1999.0,Action,Titus,0.33,0.07,0.0,0.0,0.41,410000.0,0,S,0.47559999999999997
UEFA Euro 2008 Austria-Switzerland,PS3,2008.0,Sports,Electronic Arts,0.08,0.27,0.0,0.06,0.41,410000.0,10,U,0.47559999999999997
The Terminator: Dawn of Fate,PS2,2002.0,Action,Atari,0.2,0.16,0.0,0.05,0.41,410000.0,0,T,0.47559999999999997
The LEGO Movie Videogame,PSV,2014.0,Action,Warner Bros. Interactive Entertainment,0.05,0.26,0.0,0.09,0.41,410000.0,0,T,0.47559999999999997
Rogue Galaxy: Director's Cut,PS2,2007.0,Role-Playing,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41,410000.0,7,R,0.47559999999999997
Armored Core,PS,1997.0,Simulation,Sony Computer Entertainment,0.13,0.09,0.16,0.03,0.41,410000.0,9,A,0.47559999999999997
Monster Trucks Mayhem,Wii,2009.0,Racing,Zoo Games,0.39,0.0,0.0,0.02,0.41,410000.0,6,M,0.47559999999999997
Winter Sports 2: The Next Challenge,Wii,2008.0,Sports,RTL,0.18,0.19,0.0,0.04,0.41,410000.0,10,W,0.47559999999999997
Green Day: Rock Band,X360,2010.0,Misc,MTV Games,0.24,0.13,0.0,0.04,0.41,410000.0,3,G,0.47559999999999997
Densha De Go! 2,PS,1999.0,Simulation,Taito,0.0,0.0,0.38,0.03,0.41,410000.0,9,D,0.47559999999999997
Transformers: Fall of Cybertron,PS3,2012.0,Action,Activision,0.19,0.15,0.0,0.07,0.41,410000.0,0,T,0.47559999999999997
Call of Duty: Advanced Warfare,PC,2014.0,Shooter,Activision,0.14,0.23,0.0,0.04,0.41,410000.0,8,C,0.47559999999999997
Disney Princess: Enchanting Storybooks,Wii,2011.0,Misc,THQ,0.26,0.11,0.0,0.04,0.41,410000.0,3,D,0.47559999999999997
Monopoly Streets,PS3,2010.0,Misc,Electronic Arts,0.16,0.18,0.0,0.07,0.41,410000.0,3,M,0.47559999999999997
Band Hero,PS2,2009.0,Misc,Activision,0.15,0.06,0.0,0.2,0.41,410000.0,3,B,0.47559999999999997
The Wonderful 101,WiiU,2013.0,Action,Nintendo,0.2,0.1,0.08,0.03,0.41,410000.0,0,T,0.47559999999999997
No More Heroes 2: Desperate Struggle,Wii,2010.0,Action,Rising Star Games,0.21,0.12,0.04,0.03,0.41,410000.0,0,N,0.47559999999999997
Battlefield 2: Modern Combat,X360,2006.0,Shooter,Electronic Arts,0.35,0.02,0.01,0.03,0.41,410000.0,8,B,0.47559999999999997
Armored Core 2: Another Age,PS2,2001.0,Simulation,Metro 3D,0.11,0.08,0.19,0.03,0.41,410000.0,9,A,0.47559999999999997
Buzz! Junior: Jungle Party,PS2,2006.0,Misc,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41,410000.0,3,B,0.47559999999999997
Mortal Kombat: Deadly Alliance,GC,2002.0,Fighting,Midway Games,0.31,0.08,0.0,0.01,0.41,410000.0,2,M,0.47559999999999997
Marvel: Ultimate Alliance,Wii,2006.0,Role-Playing,Activision,0.37,0.01,0.0,0.03,0.41,410000.0,7,M,0.47559999999999997
NBA 2K11,PS2,2010.0,Action,Take-Two Interactive,0.34,0.01,0.0,0.06,0.41,410000.0,0,N,0.47559999999999997
AKB1/48: Idol to Koishitara...,PSP,2010.0,Misc,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,410000.0,3,A,0.47559999999999997
Pro Pinball,PS,1996.0,Misc,Empire Interactive,0.23,0.15,0.0,0.03,0.41,410000.0,3,P,0.47559999999999997
'98 Koshien,PS,1998.0,Sports,Magical Company,0.15,0.1,0.12,0.03,0.41,410000.0,10,',0.47559999999999997
NBA 2K9,PS2,2008.0,Sports,Take-Two Interactive,0.34,0.01,0.0,0.06,0.41,410000.0,10,N,0.47559999999999997
Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),GBA,2001.0,Misc,Konami Digital Entertainment,0.0,0.0,0.4,0.01,0.41,410000.0,3,Y,0.47559999999999997
Speed Racer: The Videogame,Wii,2008.0,Racing,Warner Bros. Interactive Entertainment,0.36,0.02,0.0,0.03,0.41,410000.0,6,S,0.47559999999999997
Naughty Bear,X360,2010.0,Action,505 Games,0.21,0.16,0.0,0.04,0.41,410000.0,0,N,0.47559999999999997
Littlest Pet Shop,Wii,2008.0,Simulation,Electronic Arts,0.34,0.04,0.0,0.03,0.41,410000.0,9,L,0.47559999999999997
TNA iMPACT!,PS3,2008.0,Fighting,Midway Games,0.22,0.12,0.0,0.06,0.41,410000.0,2,T,0.47559999999999997
Just Dance Kids 2,X360,2011.0,Misc,Ubisoft,0.29,0.09,0.0,0.03,0.41,410000.0,3,J,0.47559999999999997
Duke Nukem Forever,PC,2011.0,Shooter,Take-Two Interactive,0.18,0.17,0.0,0.06,0.41,410000.0,8,D,0.47559999999999997
Hatsune Miku: Project Diva 2nd,PSP,2010.0,Misc,Sega,0.0,0.0,0.41,0.0,0.41,410000.0,3,H,0.47559999999999997
Marvel: Ultimate Alliance 2,PS2,2009.0,Role-Playing,Activision,0.23,0.02,0.0,0.16,0.41,410000.0,7,M,0.47559999999999997
Mario no Super Picross,SNES,1995.0,Puzzle,Nintendo,0.0,0.0,0.41,0.0,0.41,410000.0,5,M,0.47559999999999997
"Ed, Edd n Eddy: The Mis-Edventures",PS2,2005.0,Platform,Midway Games,0.34,0.01,0.0,0.06,0.41,410000.0,4,E,0.47559999999999997
Jikkyou Powerful Pro Yakuu '94,SNES,1994.0,Sports,Konami Digital Entertainment,0.0,0.0,0.41,0.0,0.41,410000.0,10,J,0.47559999999999997
Disney's Tarzan Untamed,PS2,2001.0,Platform,Ubisoft,0.2,0.16,0.0,0.05,0.41,410000.0,4,D,0.47559999999999997
Borderlands: The Handsome Collection,XOne,2015.0,Shooter,Take-Two Interactive,0.24,0.13,0.0,0.04,0.41,410000.0,8,B,0.47559999999999997
The Gunstringer,X360,2011.0,Shooter,Microsoft Game Studios,0.26,0.11,0.0,0.04,0.41,410000.0,8,T,0.47559999999999997
Knockout Kings 2001,PS,2000.0,Fighting,Electronic Arts,0.23,0.15,0.0,0.03,0.41,410000.0,2,K,0.47559999999999997
From Russia With Love,PS2,2005.0,Action,Electronic Arts,0.34,0.01,0.0,0.06,0.41,410000.0,0,F,0.47559999999999997
FIFA Soccer 13,PC,2012.0,Action,Electronic Arts,0.02,0.31,0.0,0.07,0.41,410000.0,0,F,0.47559999999999997
Asura's Wrath,PS3,2012.0,Action,Capcom,0.18,0.12,0.06,0.05,0.41,410000.0,0,A,0.47559999999999997
Avatar: The Game,DS,2009.0,Action,Ubisoft,0.19,0.18,0.0,0.04,0.41,410000.0,0,A,0.47559999999999997
My Virtual Tutor: Reading Adventure First to Second Grade,DS,2009.0,Misc,Mentor Interactive,0.38,0.0,0.0,0.03,0.41,410000.0,3,M,0.47559999999999997
Minority Report: Everybody Runs,PS2,2002.0,Action,Activision,0.2,0.15,0.0,0.05,0.41,410000.0,0,M,0.47559999999999997
Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,PS,2003.0,Misc,Sony Computer Entertainment,0.23,0.15,0.0,0.03,0.4,400000.0,3,D,0.464
NFL GameDay 2002,PS,2001.0,Sports,Sony Computer Entertainment,0.23,0.15,0.0,0.03,0.4,400000.0,10,N,0.464
Pengo,2600,1983.0,Adventure,Atari,0.38,0.02,0.0,0.0,0.4,400000.0,1,P,0.464
Disney Sing It! High School Musical 3: Senior Year,PS3,2008.0,Misc,Disney Interactive Studios,0.08,0.26,0.0,0.07,0.4,400000.0,3,D,0.464
Story of Seasons,3DS,2014.0,Simulation,Nintendo,0.0,0.13,0.26,0.01,0.4,400000.0,9,S,0.464
Beowulf: The Game,X360,2007.0,Action,Ubisoft,0.36,0.01,0.0,0.03,0.4,400000.0,0,B,0.464
Mouse Trap,2600,1981.0,Action,Coleco,0.38,0.02,0.0,0.0,0.4,400000.0,0,M,0.464
Super Monkey Ball: Step & Roll,Wii,2010.0,Action,Sega,0.17,0.2,0.0,0.04,0.4,400000.0,0,S,0.464
Hatsune Miku: Project Diva F 2nd,PSV,2014.0,Misc,Sega,0.13,0.06,0.16,0.06,0.4,400000.0,3,H,0.464
Overlord,X360,2007.0,Strategy,Codemasters,0.34,0.03,0.01,0.03,0.4,400000.0,11,O,0.464
Tak and the Power of Juju,GC,2003.0,Platform,THQ,0.31,0.08,0.0,0.01,0.4,400000.0,4,T,0.464
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS3,2007.0,Action,Activision,0.32,0.04,0.01,0.04,0.4,400000.0,0,T,0.464
Sega Superstars Tennis,PS3,2008.0,Sports,Sega,0.13,0.2,0.0,0.08,0.4,400000.0,10,S,0.464
LEGO Harry Potter: Years 5-7,3DS,0.0,Action,Warner Bros. Interactive Entertainment,0.18,0.19,0.0,0.04,0.4,400000.0,0,L,0.464
Dragon Quest X,WiiU,2013.0,Role-Playing,Square Enix,0.0,0.0,0.4,0.0,0.4,400000.0,7,D,0.464
Wall-E,PS3,2008.0,Platform,THQ,0.12,0.21,0.0,0.08,0.4,400000.0,4,W,0.464
Medarot: Kabuto / Kuwagata Version,GB,1997.0,Role-Playing,Imagineer,0.0,0.0,0.4,0.0,0.4,400000.0,7,M,0.464
NBA 2K10,PS2,2009.0,Sports,Take-Two Interactive,0.33,0.01,0.0,0.05,0.4,400000.0,10,N,0.464
Defender,PS2,2002.0,Misc,Midway Games,0.2,0.15,0.0,0.05,0.4,400000.0,3,D,0.464
NFL GameDay 2003,PS2,0.0,Sports,Unknown,0.2,0.15,0.0,0.05,0.4,400000.0,10,N,0.464
WipeOut 3 The Game,Wii,2012.0,Action,Activision,0.38,0.0,0.0,0.03,0.4,400000.0,0,W,0.464
Taiko no Tatsujin Wii: Dodon to 2 Yome!,Wii,2009.0,Misc,Namco Bandai Games,0.0,0.0,0.4,0.0,0.4,400000.0,3,T,0.464
Thief (2014),PS3,2014.0,Action,Square Enix,0.1,0.2,0.02,0.08,0.4,400000.0,0,T,0.464
Congo Bongo,2600,1982.0,Action,Sega,0.37,0.02,0.0,0.0,0.4,400000.0,0,C,0.464
Gauntlet: Seven Sorrows,PS2,2005.0,Role-Playing,Midway Games,0.2,0.15,0.0,0.05,0.4,400000.0,7,G,0.464
Harry Potter: Quidditch World Cup,GC,2003.0,Sports,Electronic Arts,0.31,0.08,0.0,0.01,0.4,400000.0,10,H,0.464
Advance Wars: Dual Strike,DS,2005.0,Strategy,Nintendo,0.3,0.03,0.04,0.03,0.4,400000.0,11,A,0.464
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,DS,2009.0,Action,Konami Digital Entertainment,0.27,0.01,0.09,0.03,0.4,400000.0,0,Y,0.464
Warriors Orochi 2 (JP sales),PS2,2008.0,Action,Tecmo Koei,0.0,0.0,0.4,0.0,0.4,400000.0,0,W,0.464
WWE SmackDown! vs. RAW 2006,PSP,2005.0,Fighting,THQ,0.36,0.01,0.0,0.03,0.4,400000.0,2,W,0.464
The Chronicles of Narnia: Prince Caspian,PS2,2008.0,Action,Disney Interactive Studios,0.2,0.15,0.0,0.05,0.4,400000.0,0,T,0.464
The Incredibles: Rise of the Underminer,GBA,2005.0,Action,THQ,0.29,0.11,0.0,0.01,0.4,400000.0,0,T,0.464
Pet in TV,PS,1997.0,Strategy,Sony Computer Entertainment,0.0,0.0,0.38,0.03,0.4,400000.0,11,P,0.464
Battalion Wars,GC,2005.0,Strategy,Nintendo,0.25,0.07,0.07,0.01,0.4,400000.0,11,B,0.464
NBA ShootOut 2000,PS,1999.0,Sports,989 Studios,0.22,0.15,0.0,0.03,0.4,400000.0,10,N,0.464
Power Rangers: Dino Thunder,GC,2004.0,Action,THQ,0.31,0.08,0.0,0.01,0.4,400000.0,0,P,0.464
Rocksmith 2014,XOne,2014.0,Misc,Ubisoft,0.29,0.08,0.0,0.04,0.4,400000.0,3,R,0.464
Samurai Shodown,SNES,1994.0,Fighting,Takara,0.0,0.0,0.4,0.0,0.4,400000.0,2,S,0.464
NHL 15,XOne,2014.0,Sports,Electronic Arts,0.31,0.06,0.0,0.03,0.4,400000.0,10,N,0.464
TMNT,Wii,2007.0,Action,Ubisoft,0.34,0.03,0.0,0.03,0.4,400000.0,0,T,0.464
Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,2009.0,Action,Square Enix,0.22,0.08,0.08,0.03,0.4,400000.0,0,F,0.464
Cabela's Big Game Hunter 2010,PS3,2009.0,Sports,Activision Value,0.37,0.0,0.0,0.03,0.4,400000.0,10,C,0.464
EA Sports UFC 2,XOne,2016.0,Sports,Electronic Arts,0.23,0.14,0.0,0.04,0.4,400000.0,10,E,0.464
Fighting Vipers,SAT,1995.0,Fighting,Sega,0.0,0.0,0.4,0.0,0.4,400000.0,2,F,0.464
NCAA GameBreaker 2000,PS,1999.0,Sports,989 Studios,0.22,0.15,0.0,0.03,0.4,400000.0,10,N,0.464
Iron Man 2,PS3,2010.0,Action,Sega,0.14,0.19,0.0,0.07,0.4,400000.0,0,I,0.464
The Legend of Spyro: Dawn of the Dragon,PS2,2008.0,Platform,Vivendi Games,0.12,0.01,0.0,0.27,0.4,400000.0,4,T,0.464
AKB1/48: Idol to Guam de Koishitara...,PSP,2011.0,Misc,Namco Bandai Games,0.0,0.0,0.4,0.0,0.4,400000.0,3,A,0.464
RR64: Ridge Racer 64,N64,1999.0,Racing,Nintendo,0.32,0.07,0.0,0.0,0.4,400000.0,6,R,0.464
Top Gear Rally,N64,1997.0,Racing,Kemco,0.32,0.07,0.0,0.0,0.4,400000.0,6,T,0.464
NFL Quarterback Club 2000,N64,1999.0,Sports,Acclaim Entertainment,0.37,0.03,0.0,0.0,0.4,400000.0,10,N,0.464
Mortal Kombat Mythologies: Sub-Zero,N64,1997.0,Fighting,Midway Games,0.32,0.07,0.0,0.0,0.4,400000.0,2,M,0.464
18 Wheeler: American Pro Trucker,PS2,2001.0,Racing,Acclaim Entertainment,0.2,0.15,0.0,0.05,0.4,400000.0,6,1,0.464
Atari Anthology,PS2,2004.0,Misc,Atari,0.33,0.01,0.0,0.05,0.4,400000.0,3,A,0.464
Bugs Bunny: Lost in Time,PS,1999.0,Platform,Infogrames,0.22,0.15,0.0,0.03,0.4,400000.0,4,B,0.464
NBA Jam,X360,2010.0,Sports,Electronic Arts,0.27,0.1,0.0,0.03,0.4,400000.0,10,N,0.464
Sherlock Holmes: The Mystery of the Mummy,DS,2009.0,Adventure,Focus Home Interactive,0.06,0.3,0.0,0.04,0.4,400000.0,1,S,0.464
Hot Wheels: Beat That!,PS2,2007.0,Racing,Activision,0.2,0.15,0.0,0.05,0.4,400000.0,6,H,0.464
MLB 2006,PS2,2005.0,Sports,Sony Computer Entertainment,0.33,0.01,0.0,0.05,0.4,400000.0,10,M,0.464
Star Wars The Clone Wars: Republic Heroes,X360,2009.0,Action,LucasArts,0.18,0.17,0.0,0.04,0.4,400000.0,0,S,0.464
Brunswick Pro Bowling,PS2,2007.0,Sports,505 Games,0.2,0.15,0.0,0.05,0.4,400000.0,10,B,0.464
Mafia II,PC,2010.0,Action,Take-Two Interactive,0.17,0.17,0.0,0.06,0.4,400000.0,0,M,0.464
Rocket Power: Dream Scheme,GBA,2001.0,Action,THQ,0.29,0.11,0.0,0.01,0.4,400000.0,0,R,0.464
SpongeBob's Truth or Square (US sales),Wii,2009.0,Action,THQ,0.38,0.01,0.0,0.0,0.4,400000.0,0,S,0.464
MX vs. ATV Unleashed,XB,2005.0,Racing,THQ,0.32,0.07,0.0,0.01,0.4,400000.0,6,M,0.464
Rampage: Total Destruction,GC,2006.0,Action,Midway Games,0.31,0.08,0.0,0.01,0.4,400000.0,0,R,0.464
Planet 51,DS,2009.0,Action,Sega,0.22,0.14,0.0,0.04,0.4,400000.0,0,P,0.464
The Urbz: Sims in the City,GC,2004.0,Simulation,Electronic Arts,0.24,0.14,0.0,0.02,0.4,400000.0,9,T,0.464
Road Rash: Jailbreak,PS,1999.0,Racing,Electronic Arts,0.22,0.15,0.0,0.03,0.4,400000.0,6,R,0.464
Mother 3,GBA,2006.0,Role-Playing,Nintendo,0.0,0.0,0.39,0.01,0.4,400000.0,7,M,0.464
Nicktoons: Freeze Frame Frenzy,GBA,2004.0,Action,THQ,0.29,0.11,0.0,0.01,0.4,400000.0,0,N,0.464
Diner Dash: Sizzle & Serve,DS,2007.0,Puzzle,Eidos Interactive,0.34,0.03,0.0,0.03,0.4,400000.0,5,D,0.464
Rapala Pro Bass Fishing 2010,X360,2010.0,Sports,Activision,0.32,0.05,0.0,0.03,0.4,400000.0,10,R,0.464
Legends of WrestleMania,X360,2009.0,Fighting,THQ,0.2,0.16,0.0,0.04,0.4,400000.0,2,L,0.464
Wii Sports Club,WiiU,2014.0,Sports,Nintendo,0.19,0.14,0.04,0.03,0.4,400000.0,10,W,0.464
Tomb Raider: Anniversary,X360,2007.0,Action,Eidos Interactive,0.12,0.23,0.0,0.05,0.4,400000.0,0,T,0.464
You Don't Know Jack,PS,1999.0,Misc,Vivendi Games,0.22,0.15,0.0,0.03,0.4,400000.0,3,Y,0.464
Mystery Dungeon: Shiren the Wanderer,SNES,1995.0,Role-Playing,ChunSoft,0.0,0.0,0.4,0.0,0.4,400000.0,7,M,0.464
